1,Lazylizard,$574.875,https://youtu.be/N4Tv8rFrp6U,6,1,Chip,$519.395,https://www.youtube.com/watch?v=kSDy07CoDFY,8,1,Mehalic POPS,$545.890,https://www.youtube.com/watch?v=sGBhE8Yl99Y,7,1,Jandalf,$562.500,https://www.youtube.com/watch?v=9NS2_h8CaCM,6,
2,Poi,$631.575,https://youtu.be/cw9mietC3Vo,5,2,Kapu,$543.745,https://youtu.be/pvvGQlI_ckY,7,2,lenndoli,$639.070,https://youtu.be/NQijUecZDL0,6,2,MackanRules,$535.260,https://youtu.be/aV2WEshXCuE,8,
3,meow,$562.450,https://www.youtube.com/watch?v=ALYYrnwzZag,7,3,animal,$534.615,https://youtu.be/YfbjLSn5KjA,7,3,Secno,$658.485,https://www.youtube.com/watch?v=KRmRzhhwpG0,5,3,Handford,$550.725,https://www.youtube.com/watch?v=W7umt5CL-ys,7,
4,boykisser5001,T4 - $672.155,https://www.youtube.com/watch?v=UZNBZ6KeUtA,3,4,Darth Plague,$555.295,https://youtu.be/6PUkvvlpsvw,6,4,River,,,0,4,Guanium,$546.560,https://www.youtube.com/watch?v=9lFKsvo5U5o,7,
5,MABO YT,$570.205,https://youtu.be/_7YM4ymlfFw,6,5,F7shGang,$556.490,https://youtu.be/MMjJLt3zXBg,6,5,Katabu,$533.875,https://www.youtube.com/watch?v=1GbiYqpogx0,8,5,Fraise Tagada,$741.060,https://www.youtube.com/watch?v=sKPzboZOmGU,4,
6,player_0,$648.165,https://www.youtube.com/watch?v=wWaUGsvLOQE,4,6,mdrouge,$575.930,https://youtu.be/X86AEFxbJ_Q,5,6,Spacecat23,,,0,6,Dollar $ign,$594.495,https://www.youtube.com/watch?v=KhkYamsrEtI,6,
7,philia093,$620.550,https://www.youtube.com/watch?v=BRW1NH7HiX0,6,7,Lokesh,$620.530,https://www.youtube.com/watch?v=hdKzvrxp8kE,4,7,Num1208,T2 - $277.515,https://www.youtube.com/watch?v=nwPR8fvI0To,3,7,Rubikscuber,$566.535,https://www.youtube.com/watch?v=pz63pxUc-h4,6,
8,Faffanier,T1 - $145.385,https://www.youtube.com/watch?v=bss_Q-wSnfU,3,8,Angelos,$772.925,https://www.youtube.com/watch?v=lNdeDGle36o,4,8,Dongyunboffin,$567.525,https://www.youtube.com/watch?v=9esAwG2qvwM,6,8,ImAStupidBunny,$642.025,https://www.youtube.com/watch?v=eddlr-HYjHY,5,
9,Barbitos,$1.007.340,https://youtu.be/gx61ii9n1zU,4,9,Main,$1.205.963,https://youtu.be/oSAaGwQDp48,3,9,Rain,,,0,9,Mayo,$655.050,https://youtu.be/gL9LjgO0VWw?si=WVIkLpgvmH8BMWUV,5,
10,mrqfish,$736.985,https://www.youtube.com/watch?v=9ZKjybsu2qM,4,10,SecretIdentity,$648.325,https://youtu.be/oEFco8Q_eJk?si=RpYjCpUhPHZ4gPCO,4,10,Yago03,$924.215,https://www.youtube.com/watch?v=6KuH1xnuk7k,4,10,Mostafa,$626.880,https://www.youtube.com/watch?v=GnvD0Pwaac0,5,
11,TRB_Keks,$645.300,,5,11,Alch,$569.865,https://www.youtube.com/watch?v=yfByRFVVmBQ,6,11,Lewok,$909.610,https://youtu.be/ZbH7_EvtJYk,4,11,Droopy,$1.025.195,https://www.youtube.com/watch?v=F29D7zF4bEI,4,
12,MrPietrek,$513.150,https://www.youtube.com/watch?v=dlLy5zN1LNA,8,12,ForgeOfTheBall,T1 - $104.390,https://youtu.be/IIkhUHuAF_U?si=aVF7gjQxqmLZoiJF,3,12,Siy,$676.767,https://www.youtube.com/watch?v=IlnkFcN6YCc,5,12,Yoboi3li,,,0,
13,Express,$1.250.065,https://www.youtube.com/watch?v=7Jvcw5-j_eg,4,13,Maud B,,,0,13,steamyapplepi,$807.725,https://www.youtube.com/watch?v=BDu7QVB7zuQ,5,13,nomoustacheman,$2.124.655,https://www.youtube.com/watch?v=LNdUI66WY1U,3,
14,Cat Detective,$564.865,https://www.youtube.com/watch?v=eEFhFOoJRoY,7,14,Fireblade,,,0,14,Geshem8,T1 - $57.050,https://youtu.be/0Lp578lB-hM,3,14,Sesteri,,,0,
15,Miro,$644.345,https://www.youtube.com/watch?v=Mxc_UWrfj7c,5,15,Rockmyzombie,$679.480,https://www.youtube.com/watch?v=SAlBw6nx0aQ,4,15,ISAB,$535.240,https://www.youtube.com/watch?v=HX5OU6ZLRs4,7,15,Maxaminion03,$1.233.425,https://youtu.be/qs9rmNoOVd8,3,
